ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,35620,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,99999,ADJUNTAS,PR,0.997451147,0.994949495,0.987951807,0.997052893
00601,29720,ADJUNTAS,PR,0.002548853,0.005050505,0.012048193,0.002947107
00602,10380,AGUADA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00603,10380,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00604,10380,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,10380,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,99999,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,10380,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,46580,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,41980,ARECIBO,PR,0.002730978,0.000000000,0.000000000,0.002407229
00612,46580,ARECIBO,PR,0.000210075,0.000000000,0.001455604,0.000222206
00612,11640,ARECIBO,PR,0.997058947,1.000000000,0.998544396,0.997370565
00613,11640,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,11640,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,11640,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,41980,BARCELONETA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00622,32420,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,32420,CABO ROJO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00624,38660,PENUELAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00627,11640,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,29720,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,32420,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,41980,CIALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00641,46580,UTUADO,PR,0.996071716,1.000000000,1.000000000,0.996372093
00641,38660,UTUADO,PR,0.003928284,0.000000000,0.000000000,0.003627907
00646,41980,DORADO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00647,99999,ENSENADA,PR,0.995995423,1.000000000,1.000000000,0.996121884
00647,32420,ENSENADA,PR,0.004004577,0.000000000,0.000000000,0.003878116
00650,11640,FLORIDA,PR,0.001079331,0.000000000,0.000000000,0.001044386
00650,41980,FLORIDA,PR,0.998920669,1.000000000,1.000000000,0.998955614
00652,11640,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,38660,GUANICA,PR,0.003354016,0.000000000,0.000000000,0.003161555
00653,99999,GUANICA,PR,0.996645984,1.000000000,1.000000000,0.996838445
00656,38660,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,11640,HATILLO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00660,32420,HORMIGUEROS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00662,11640,ISABELA,PR,0.000859063,0.000000000,0.000000000,0.000793503
00662,10380,ISABELA,PR,0.999140937,1.000000000,1.000000000,0.999206497
00664,99999,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00667,32420,LAJAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00669,29720,LARES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00670,99999,LAS MARIAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00674,41980,MANATI,PR,1.000000000,1.000000000,1.000000000,1.000000000
00676,10380,MOCA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00677,10380,RINCON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00678,11640,QUEBRADILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00680,10380,MAYAGUEZ,PR,0.000047081,0.000000000,0.000000000,0.000039935
00680,32420,MAYAGUEZ,PR,0.999952919,1.000000000,1.000000000,0.999960065
00681,32420,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00682,32420,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00683,32420,SAN GERMAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00685,10380,SAN SEBASTIAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00687,41980,MOROVIS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00688,11640,SABANA HOYOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00690,10380,SAN ANTONIO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00692,41980,VEGA ALTA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00693,41980,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00694,41980,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00698,32420,YAUCO,PR,0.000181357,0.002816901,0.000000000,0.000334579
00698,38660,YAUCO,PR,0.999818643,0.997183099,1.000000000,0.999665421
00703,41980,AGUAS BUENAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00704,17640,AGUIRRE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00705,41980,AIBONITO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00707,41980,MAUNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00714,25020,ARROYO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00715,38660,MERCEDITA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00716,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00717,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00718,41980,NAGUABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00719,41980,NARANJITO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00720,38660,OROCOVIS,PR,0.002950336,0.000000000,0.000000000,0.002766252
00720,41980,OROCOVIS,PR,0.997049664,1.000000000,1.000000000,0.997233748
00721,41980,PALMER,PR,1.000000000,1.000000000,1.000000000,1.000000000
00723,25020,PATILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00725,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00726,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00727,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00728,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00729,41980,CANOVANAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00730,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00731,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00732,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00733,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00735,41980,CEIBA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00736,41980,CAYEY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00737,41980,CAYEY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00738,41980,FAJARDO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00739,41980,CIDRA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00740,41980,PUERTO REAL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00741,41980,PUNTA SANTIAGO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00744,41980,RIO BLANCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00745,41980,RIO GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
